StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Male,Group A,Inter Education,Medium,,Yes,Strong Support,No,No,Yes,No,Medium,Grade C
1002,18,Female,Group A,High Education,Medium,No Absence,No,Medium Support,No,No,No,No,High,Grade B
1003,15,Female,Group C,Bechelor Degree,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1004,17,Male,Group A,Bechelor Degree,Medium,,No,3,Yes,No,No,No,Medium,Grade D
1005,17,Male,Group A,Inter Education,Low,,Yes,3,No,No,No,No,Low,Grade D
1006,18,Female,Group A,High Education,Low,No Absence,No,Medium Support,Yes,No,No,No,High,Grade B
1007,15,Female,Group B,High Education,Medium,Low Absent,No,3,No,Yes,No,No,Medium,Grade C
1008,15,Male,Group B,Master Drgree,Medium,,Yes,Medium Support,Yes,No,No,No,Low,Grade D
1009,17,Female,Group A,No Education,Low,,No,Strong Support,No,Yes,No,Yes,Medium,Grade C
1010,16,Male,Group A,High Education,Medium,No Absence,No,3,Yes,No,No,No,High,Grade A
1011,17,Female,Group A,High Education,Medium,,No,Medium Support,No,No,No,No,Medium,Grade D
1012,17,Female,Group A,High Education,Low,,No,Strong Support,No,No,No,Yes,Low,Grade D
1013,17,Female,Group B,High Education,Medium,,No,3,Yes,No,No,No,Low,Grade D
1014,17,Female,Group B,Inter Education,Medium,,No,4,No,Yes,No,No,Low,Grade D
1015,18,Male,Group A,High Education,Medium,,Yes,Strong Support,No,No,No,No,Medium,Grade D
1016,15,Female,Group A,Inter Education,Low,,Yes,No Support,No,Yes,No,No,Low,Grade D
1017,18,Female,Group D,High Education,Medium,,No,Strong Support,Yes,Yes,No,No,Medium,Grade D
1018,18,Male,Group A,No Education,Low,,Yes,Strong Support,No,No,No,No,Low,Grade D
1019,18,Female,Group B,Bechelor Degree,Medium,,No,Strong Support,Yes,No,No,Yes,Low,Grade D
1020,17,Female,Group A,High Education,Medium,,No,Strong Support,No,No,Yes,No,Medium,Grade D
1021,16,Male,Group A,Bechelor Degree,Low,,No,3,No,No,No,Yes,Medium,Grade C
1022,15,Female,Group A,Inter Education,Medium,,No,Medium Support,Yes,No,No,No,Low,Grade D
1023,16,Male,Group B,No Education,Medium,,Yes,Medium Support,No,No,No,No,Low,Grade D
1024,18,Male,Group D,Master Drgree,Medium,Moderate Absence,No,Strong Support,Yes,No,No,No,Low,Grade D
1025,18,Male,Group A,High Education,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1026,16,Male,Group A,Bechelor Degree,Low,,No,4,No,No,Yes,No,Medium,Grade C
1027,16,Female,Group A,High Education,Medium,,No,Strong Support,No,Yes,No,No,Medium,Grade C
1028,16,Male,Group A,Bechelor Degree,Low,,No,3,No,No,Yes,No,Medium,Grade D
1029,18,Female,Group A,No Education,Medium,Low Absent,No,3,Yes,No,No,No,Medium,Grade C
1030,18,Female,Group A,Inter Education,Low,Moderate Absence,No,3,Yes,No,No,No,Low,Grade D
1031,15,Female,Group C,Inter Education,Low,,Yes,No Support,No,Yes,No,No,Low,Grade D
1032,15,Female,Group A,Bechelor Degree,Low,,No,4,No,No,No,Yes,Low,Grade D
1033,18,Female,Group A,Bechelor Degree,Low,,No,Medium Support,No,Yes,No,No,Low,Grade D
1034,16,Female,Group D,Bechelor Degree,Medium,,No,No Support,Yes,Yes,No,No,Low,Grade D
1035,16,Female,Group A,Bechelor Degree,Low,,Yes,Strong Support,Yes,Yes,No,No,Low,Grade D
1036,15,Female,Group D,High Education,Low,,No,Medium Support,No,No,No,No,Low,Grade D
1037,18,Female,Group A,High Education,Low,,Yes,Medium Support,No,No,No,No,Low,Grade D
1038,15,Female,Group C,High Education,Medium,,Yes,Medium Support,No,Yes,No,No,Low,Grade D
1039,15,Male,Group B,High Education,Low,,Yes,Medium Support,Yes,Yes,No,No,High,Grade B
1040,17,Male,Group C,High Education,Medium,,Yes,3,Yes,Yes,No,No,Low,Grade D
1041,17,Male,Group D,Inter Education,Medium,,Yes,Medium Support,No,No,No,No,Low,Grade D
1042,17,Female,Group A,High Education,Medium,,No,Strong Support,No,No,No,No,Medium,Grade C
1043,16,Male,Group D,Inter Education,Medium,,Yes,4,No,No,No,No,Medium,Grade C
1044,18,Male,Group A,High Education,Medium,,No,Strong Support,No,Yes,No,No,Medium,Grade C
1045,18,Male,Group A,High Education,Medium,,Yes,3,Yes,Yes,No,No,High,Grade A
1046,18,Female,Group A,Inter Education,Low,,No,4,No,No,Yes,No,Medium,Grade C
1047,18,Female,Group B,Inter Education,Low,,No,Medium Support,Yes,No,No,No,Medium,Grade C
1048,17,Female,Group A,Inter Education,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1049,16,Female,Group B,Inter Education,Medium,,No,3,No,No,Yes,No,Medium,Grade D
1050,16,Male,Group B,High Education,Medium,,No,4,Yes,No,No,No,Medium,Grade D
1051,17,Male,Group C,Inter Education,Medium,,No,3,No,No,No,No,Medium,Grade C
1052,16,Male,Group C,No Education,Low,,Yes,Medium Support,Yes,No,Yes,No,Low,Grade D
1053,17,Male,Group A,High Education,Medium,,No,4,No,No,Yes,No,Low,Grade D
1054,18,Female,Group A,Inter Education,Low,,No,Medium Support,No,Yes,No,No,Low,Grade D
1055,17,Female,Group A,No Education,Low,,Yes,Strong Support,Yes,Yes,No,No,Low,Grade D
1056,18,Female,Group A,High Education,Low,,No,Strong Support,No,Yes,No,No,Low,Grade D
1057,18,Male,Group A,Master Drgree,Low,Moderate Absence,No,Strong Support,No,Yes,Yes,No,Low,Grade D
1058,15,Female,Group A,Master Drgree,Medium,,No,3,Yes,No,No,No,Low,Grade D
1059,17,Female,Group A,High Education,Low,,Yes,3,No,Yes,No,No,Medium,Grade C
1060,15,Male,Group D,No Education,Low,,No,3,No,Yes,No,No,Low,Grade D
1061,17,Male,Group B,High Education,Medium,Low Absent,No,No Support,Yes,No,Yes,No,Low,Grade D
1062,17,Female,Group A,High Education,Medium,,No,Strong Support,No,No,Yes,No,Medium,Grade D
1063,15,Female,Group B,Bechelor Degree,Medium,,No,3,No,Yes,No,No,Medium,Grade D
1064,15,Female,Group A,High Education,Low,,No,Strong Support,No,Yes,No,No,Medium,Grade D
1065,17,Female,Group A,Inter Education,Medium,,Yes,4,No,No,No,No,High,Grade B
1066,16,Female,Group B,High Education,Medium,,Yes,3,Yes,No,No,No,High,Grade B
1067,18,Female,Group A,Master Drgree,Low,,No,3,No,Yes,No,No,Low,Grade D
1068,15,Male,Group A,High Education,Medium,,No,No Support,No,Yes,No,No,Low,Grade D
1069,18,Male,Group D,Inter Education,Low,,Yes,3,No,No,Yes,No,Low,Grade D
1070,16,Male,Group C,High Education,Low,,No,4,No,No,Yes,No,High,Grade B
1071,16,Female,Group B,Inter Education,Medium,,No,Strong Support,Yes,No,No,No,Medium,Grade C
1072,16,Male,Group B,High Education,Medium,,No,3,No,No,Yes,Yes,Low,Grade D
1073,15,Female,Group B,High Education,Low,,No,Strong Support,Yes,Yes,No,No,Medium,Grade C
1074,16,Female,Group A,Bechelor Degree,Medium,,Yes,Strong Support,No,No,No,No,High,Grade B
1075,15,Male,Group A,Bechelor Degree,Medium,,No,3,Yes,No,Yes,No,Medium,Grade D
1076,16,Female,Group A,Bechelor Degree,Medium,,No,3,No,Yes,No,No,Low,Grade D
1077,18,Female,Group A,Inter Education,Low,,No,3,No,No,No,No,Medium,Grade C
1078,18,Male,Group B,Bechelor Degree,Medium,,Yes,Medium Support,Yes,Yes,No,No,Medium,Grade D
1079,17,Male,Group A,No Education,Low,,No,Medium Support,No,No,No,No,Low,Grade D
1080,18,Male,Group D,High Education,Medium,,No,3,No,Yes,No,No,Low,Grade D
1081,17,Female,Group D,High Education,Low,,No,Medium Support,No,Yes,No,No,Medium,Grade D
1082,18,Male,Group C,Inter Education,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1083,15,Male,Group B,High Education,Medium,,No,No Support,Yes,Yes,No,No,Medium,Grade C
1084,18,Female,Group C,High Education,Low,,No,Medium Support,No,Yes,No,No,Low,Grade D
1085,17,Male,Group A,Inter Education,Low,,No,3,Yes,Yes,No,No,Medium,Grade D
1086,17,Male,Group C,Bechelor Degree,Low,,No,3,No,No,No,No,Low,Grade D
1087,16,Male,Group A,High Education,Medium,Moderate Absence,Yes,Medium Support,Yes,No,Yes,Yes,Low,Grade D
1088,15,Female,Group C,High Education,Low,,No,Medium Support,No,No,Yes,No,Low,Grade D
1089,18,Female,Group A,High Education,Medium,,No,No Support,Yes,No,Yes,No,Low,Grade D
1090,16,Female,Group C,High Education,Low,Low Absent,No,Strong Support,No,No,Yes,Yes,Medium,Grade D
1091,18,Female,Group D,High Education,Low,,No,Medium Support,No,No,No,Yes,Low,Grade D
1092,18,Male,Group A,Inter Education,Low,No Absence,No,Strong Support,Yes,Yes,No,No,High,Grade A
1093,16,Female,Group A,Inter Education,Low,,Yes,3,No,No,No,No,High,Grade A
1094,16,Female,Group D,Inter Education,Low,,Yes,3,No,Yes,No,No,Medium,Grade D
